Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Date,Time,Temperature (°C),Cpu_usage (%),Memory_usage(%)
Friday 03 2025,11:59:07,N/A,0.0,55.8
Friday 03 2025,11:59:08,N/A,41.7,56.2
Friday 03 2025,11:59:09,N/A,60.3,56.4
Friday 03 2025,11:59:10,N/A,33.7,56.6
Friday 03 2025,11:59:11,N/A,41.2,56.7
Friday 03 2025,11:59:12,N/A,47.9,56.7
Friday 03 2025,11:59:13,N/A,70.5,56.7
Friday 03 2025,11:59:14,N/A,82.4,56.7
Friday 03 2025,11:59:15,N/A,62.8,56.7
Friday 03 2025,11:59:16,N/A,40.2,56.7
Friday 03 2025,11:59:17,N/A,66.2,56.8
Friday 03 2025,11:59:18,N/A,41.7,56.8
Friday 03 2025,11:59:19,N/A,94.0,56.8
Friday 03 2025,11:59:20,N/A,92.1,56.8
Friday 03 2025,11:59:21,N/A,99.2,56.9
Friday 03 2025,11:59:22,N/A,97.7,56.9
